Filename,DES_Size,DES_Complexity,DES_Design Smells,SCC_LOC,SCC_CLOC,SCC_COMPLEXITY,ARCH_Revisions,ARCH_Dependent Partners,ARCH_Depends on Partners,ARCH_Total Dependencies,ARCH_CoChange Partners,ARCH_Bug Commits,ARCH_Churn,DV8_LOC,DV8_TargetChangeCount,DV8_TargetChurn,DV8_ChangeCount,DV8_ChangeChurn,DV8_TotalIssues,DV8_Clique,DV8_Crossing,DV8_IsCenter,DV8_ModularityViolation,DV8_PackageCycle,DV8_UnhealthyInheritance,DV8_UnstableInterface,DV8_isUnstableInterface,DV8_PresentInIssues,SQ_Issues,SQ_CodeSmells,SQ_Bugs,SQ_Vulnerabilities,SQ_SecuritySpots,S101_Fat,S101_ClassTangles,S101_PkgTangles
hadoop-shim-impls.hadoop-shim-2_7.src.main.java.org.apache.tez.hadoop.shim.HadoopShim25_26_27Provider_java,8,2,1,33,12,8,2,0,3,3,0,0,35,12,0,0,1,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hadoop-shim-impls.hadoop-shim-2_7.src.main.java.org.apache.tez.hadoop.shim.HadoopShim27_java,14,4,1,52,25,1,2,1,1,2,0,0,54,25,0,0,1,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hadoop-shim-impls.hadoop-shim-2_8.src.main.java.org.apache.tez.hadoop.shim.HadoopShim28Provider_java,8,2,1,30,10,3,1,0,3,3,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-shim-impls.hadoop-shim-2_8.src.main.java.org.apache.tez.hadoop.shim.HadoopShim28_java,27,7,1,68,41,3,2,1,1,2,0,0,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-shim.src.main.java.org.apache.tez.hadoop.shim.DefaultHadoopShim_java,5,0,2,28,5,0,1,2,1,3,0,0,28,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
hadoop-shim.src.main.java.org.apache.tez.hadoop.shim.HadoopShimProvider_java,10,1,0,38,9,0,1,3,1,4,0,0,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hadoop-shim.src.main.java.org.apache.tez.hadoop.shim.HadoopShim_java,26,4,1,63,23,0,2,20,0,20,0,0,67,23,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,8,0,0,0,0,0,0
hadoop-shim.src.main.java.org.apache.tez.hadoop.shim.HadoopShimsLoader_java,110,17,2,185,143,32,2,5,3,8,0,1,189,143,1,63,1,63,2,0,1,0,0,0,1,0,0,2,19,19,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.client.AMConfiguration_java,52,15,0,100,62,4,0,2,1,3,0,0,0,62,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.client.CallerContext_java,97,15,0,180,80,11,2,7,0,7,0,2,184,80,2,184,2,184,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.client.FrameworkClient_java,28,11,0,83,39,1,2,8,6,14,0,1,10,39,0,0,1,2,6,1,0,0,0,4,1,0,0,3,1,1,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.client.TezApiVersionInfo_java,5,1,0,29,7,0,0,3,1,4,0,0,0,7,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.client.TezAppMasterStatus_java,0,0,0,36,9,0,0,4,0,4,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.client.TezClientUtils_java,669,113,2,1136,873,166,20,12,25,37,8,8,499,886,5,58,15,395,15,1,2,1,6,3,1,2,0,6,40,36,2,0,2,-1,1,1
tez-api.src.main.java.org.apache.tez.client.TezClient_java,848,124,5,1344,892,100,29,24,27,51,16,17,1012,903,16,359,26,934,18,1,1,0,6,4,4,2,0,6,56,48,8,0,0,195,1,1
tez-api.src.main.java.org.apache.tez.client.TezYarnClient_java,45,12,1,110,73,4,2,1,3,4,0,1,21,73,1,12,2,21,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.ATSConstants_java,90,0,2,137,95,0,11,18,0,18,8,10,33,98,10,32,11,36,5,0,1,0,2,0,1,1,0,4,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.ContainerSignatureMatcher_java,26,4,0,64,14,0,1,11,0,11,0,0,6,14,0,0,1,64,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.JavaOptsChecker_java,41,11,0,87,55,14,2,3,1,4,0,1,89,55,1,2,2,89,2,0,0,0,0,2,0,0,0,1,7,6,0,0,1,0,0,0
tez-api.src.main.java.org.apache.tez.common.ProgressHelper_java,52,9,0,92,66,11,4,6,5,11,2,4,104,136,2,94,2,94,4,1,0,0,0,1,2,0,0,3,6,4,2,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.RPCUtil_java,116,18,0,173,104,19,1,2,3,5,0,1,173,104,1,173,1,173,3,0,0,0,0,2,1,0,0,2,9,9,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.ReflectionUtils_java,100,12,0,151,118,5,2,23,2,25,0,2,62,86,1,19,1,19,2,0,0,0,0,2,0,0,0,1,8,8,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.ServicePluginLifecycle_java,17,3,1,48,10,0,2,4,0,4,0,0,48,10,0,0,2,48,1,0,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.TezCommonUtils_java,355,56,2,568,326,36,5,26,5,31,0,5,122,326,5,122,5,122,6,1,1,0,0,3,0,1,0,4,21,18,3,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.TezUtils_java,125,18,1,202,116,16,6,38,4,42,1,5,93,137,5,75,6,93,8,1,1,0,2,3,0,1,0,5,4,4,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.TezYARNUtils_java,109,30,1,232,171,39,5,3,2,5,1,2,143,171,1,7,4,118,5,1,1,0,0,2,0,1,0,4,3,3,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.VersionInfo_java,61,10,1,117,82,4,0,8,0,8,0,0,0,94,0,0,0,0,2,0,0,0,0,1,1,0,0,2,4,4,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.annotation.ConfigurationClass_java,0,0,0,31,9,0,1,4,0,4,0,0,31,9,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.annotation.ConfigurationProperty_java,0,0,0,36,14,0,1,4,0,4,0,0,36,14,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.AbstractCounterGroup_java,125,27,1,207,140,11,0,1,3,4,0,0,0,144,0,0,1,7,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.AbstractCounter_java,19,4,1,52,25,2,0,4,1,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.AbstractCounters_java,294,50,3,406,266,38,0,45,7,52,0,0,0,269,0,0,1,11,3,1,0,0,0,1,1,0,0,3,6,6,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.CounterGroupBase_java,64,11,0,108,22,0,0,16,1,17,0,0,0,26,0,0,1,9,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.CounterGroupFactory_java,123,21,0,179,80,16,0,2,7,9,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.CounterGroup_java,5,0,1,32,7,0,0,10,1,11,0,0,0,7,0,0,0,0,3,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.DAGCounter_java,0,0,0,42,21,0,0,6,0,6,0,0,0,22,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.FileSystemCounterGroup_java,201,55,3,318,240,32,0,2,4,6,0,0,0,244,0,0,1,9,2,0,0,0,0,0,2,0,0,1,4,4,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.FileSystemCounter_java,0,0,0,34,14,0,1,8,0,8,0,0,4,14,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.FrameworkCounterGroup_java,169,46,3,271,197,19,0,2,3,5,0,0,0,202,0,0,1,10,2,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.GenericCounter_java,56,13,1,110,69,1,1,2,2,4,0,0,21,69,0,0,1,21,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.JobCounter_java,0,0,0,43,22,0,0,2,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.LimitExceededException_java,9,2,0,36,12,0,0,4,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.Limits_java,71,17,0,127,93,13,1,7,2,9,0,1,10,78,1,10,1,10,2,1,0,0,0,1,0,0,0,2,8,8,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.TaskCounter_java,0,0,0,222,48,0,2,29,0,29,0,0,18,51,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.TezCounter_java,40,7,0,83,18,0,0,54,0,54,0,0,0,21,0,0,1,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.counters.TezCounters_java,73,15,2,144,80,0,0,47,11,58,0,0,0,84,0,0,1,12,7,1,0,0,0,1,5,0,0,3,2,2,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.ACLConfigurationParser_java,101,24,1,152,112,28,1,4,5,9,0,1,10,112,1,10,1,10,3,1,0,0,0,2,0,0,0,2,8,8,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.security.ACLManager_java,180,48,2,251,206,69,2,12,3,15,0,1,39,206,1,12,2,39,2,1,0,0,0,1,0,0,0,2,12,12,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.security.ACLType_java,0,0,0,38,10,0,1,5,0,5,0,1,2,10,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.DAGAccessControls_java,125,17,0,189,111,10,1,9,5,14,0,0,43,111,0,0,1,43,2,1,0,0,0,1,0,0,0,2,8,8,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.common.security.DAGClientSecurityInfo_java,19,5,1,60,35,1,0,0,1,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.HistoryACLPolicyException_java,15,3,1,34,11,0,0,5,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.HistoryACLPolicyManager_java,38,5,0,92,22,0,2,4,2,6,0,1,35,22,1,5,2,35,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.JobTokenIdentifier_java,59,9,2,98,51,3,0,10,0,10,0,0,0,51,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.common.security.JobTokenSecretManager_java,116,12,0,165,79,3,0,22,1,23,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
